loggingSample(N),accelerometerAccelerationX(G),SQR_accelerometerAccelerationX(G),accelerometerAccelerationY(G),SQR_accelerometerAccelerationY(G),accelerometerAccelerationZ(G),SQR_accelerometerAccelerationZ(G),TOTAL_ACCELERATION,accelerometerTimestamp_sinceReboot(s),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84)
19373,0.102935791,0.010595777,0.767501831,0.589059061,-0.219558716,0.04820603,0.804898048,1375749.235,1537499658,37.81571016,-122.2641379
19374,0.30696106,0.094225092,1.334899902,1.781957748,-0.522766113,0.273284409,1.466106152,1375749.295,1537499658,37.81571016,-122.2641379
19375,-0.017028809,0.00028998,0.662368774,0.438732393,0.000366211,1.34E-07,0.662587735,1375749.355,1537499658,37.81571016,-122.2641379
19376,0.202148438,0.040863991,1.108856201,1.229562074,-0.057693481,0.003328538,1.128607373,1375749.414,1537499658,37.81571016,-122.2641379
19377,0.279907227,0.078348056,1.145645142,1.312502791,-0.333221436,0.111036525,1.225515146,1375749.474,1537499658,37.81571016,-122.2641379
19378,0.317703247,0.100935353,0.898193359,0.80675131,-0.199371338,0.03974893,0.973363033,1375749.533,1537499659,37.8156821,-122.2641553
19379,0.358047485,0.128198002,0.882247925,0.778361401,-0.288848877,0.083433674,0.994983958,1375749.593,1537499659,37.8156821,-122.2641553
19380,0.380081177,0.144461701,1.107635498,1.226856396,-0.188720703,0.035615504,1.186142319,1375749.653,1537499659,37.8156821,-122.2641553
19381,0.303161621,0.091906968,0.813644409,0.662017224,0.010848999,0.000117701,0.868355857,1375749.712,1537499659,37.8156821,-122.2641553
19382,0.437698364,0.191579858,1.219604492,1.487435117,-0.336196899,0.113028355,1.338672226,1375749.772,1537499659,37.8156821,-122.2641553
19383,0.203063965,0.041234974,0.6771698,0.458558938,0.010528564,0.000110851,0.707039435,1375749.832,1537499659,37.8156821,-122.2641553
19384,0.216995239,0.047086934,1.077133179,1.160215885,-0.160308838,0.025698924,1.110406116,1375749.891,1537499659,37.8156821,-122.2641553
19385,0.250854492,0.062927976,0.796401978,0.634256111,-0.308364868,0.095088892,0.890097174,1375749.951,1537499659,37.8156821,-122.2641553
19386,-0.030136108,0.000908185,0.36517334,0.133351568,-0.106414795,0.011324109,0.381554533,1375750.011,1537499659,37.8156821,-122.2641553
19387,0.115493774,0.013338812,0.928573608,0.862248945,-0.070785522,0.00501059,0.938402018,1375750.07,1537499659,37.8156821,-122.2641553
19388,0.247116089,0.061066361,0.97744751,0.955403635,-0.172027588,0.029593491,1.022772451,1375750.13,1537499659,37.8156821,-122.2641553
19389,0.086746216,0.007524906,0.776168823,0.602438042,-0.105438232,0.011117221,0.788086397,1375750.19,1537499659,37.8156821,-122.2641553
19390,0.172912598,0.029898767,1.283843994,1.648255401,-0.390304565,0.152337653,1.352956696,1375750.249,1537499659,37.8156821,-122.2641553
19391,0.186462402,0.034768227,0.841491699,0.708108279,-0.181091309,0.032794062,0.880721618,1375750.309,1537499659,37.8156821,-122.2641553
19392,0.224761963,0.05051794,0.700775146,0.491085805,-0.201705933,0.040685283,0.763078652,1375750.369,1537499659,37.8156821,-122.2641553
19393,0.327453613,0.107225869,0.807006836,0.651260033,-0.166046143,0.027571322,0.886598682,1375750.428,1537499659,37.8156821,-122.2641553
19394,0.229095459,0.052484729,0.934356689,0.873022422,-0.165435791,0.027369001,0.976153755,1375750.488,1537499659,37.8156821,-122.2641553
19395,0.20539856,0.042188568,0.897262573,0.805080125,-0.20324707,0.041309371,0.942644188,1375750.548,1537499660,37.81568052,-122.2641563
19396,0.441665649,0.195068546,1.353530884,1.832045854,-0.119400024,0.014256366,1.428765469,1375750.607,1537499660,37.81568052,-122.2641563
19397,0.36946106,0.136501475,0.948013306,0.898729228,0.024520874,0.000601273,1.017758309,1375750.667,1537499660,37.81568052,-122.2641563
19398,0.266876221,0.071222917,0.837677002,0.70170276,-0.050262451,0.002526314,0.880597519,1375750.727,1537499660,37.81568052,-122.2641563
19399,0.24446106,0.05976121,0.91078186,0.829523597,-0.376113892,0.14146166,1.015256847,1375750.786,1537499660,37.81568052,-122.2641563
19400,0.159881592,0.025562123,0.982879639,0.966052385,-0.410736084,0.168704131,1.077180876,1375750.846,1537499660,37.81568052,-122.2641563
19401,0.069885254,0.004883949,1.009765625,1.019626617,0.127670288,0.016299702,1.020201092,1375750.906,1537499660,37.81568052,-122.2641563
19402,0.108276367,0.011723772,0.762588501,0.581541222,-0.030899048,0.000954751,0.770856501,1375750.965,1537499660,37.81568052,-122.2641563
19403,0.083190918,0.006920729,1.111679077,1.23583037,-0.306030273,0.093654528,1.156030115,1375751.025,1537499660,37.81568052,-122.2641563
19404,0.114685059,0.013152663,1.149627686,1.321643816,-0.199478149,0.039791532,1.172428254,1375751.085,1537499660,37.81568052,-122.2641563
19405,0.216781616,0.046994269,0.825820923,0.681980197,-0.181488037,0.032937908,0.872875921,1375751.144,1537499660,37.81568052,-122.2641563
19406,0.368209839,0.135578486,0.726852417,0.528314436,-0.129714966,0.016825972,0.825056904,1375751.204,1537499660,37.81568052,-122.2641563
19407,0.244491577,0.059776131,0.553207397,0.306038424,-0.13092041,0.017140154,0.618833345,1375751.263,1537499660,37.81568052,-122.2641563
19408,0.336257935,0.113069399,0.718399048,0.516097192,-0.266983032,0.071279939,0.836926837,1375751.323,1537499660,37.81568052,-122.2641563
19409,0.749526978,0.561790691,2.357620239,5.558373191,-0.52583313,0.276500481,2.529162779,1375751.383,1537499660,37.81568052,-122.2641563
19410,0.427856445,0.183061138,1.507476807,2.272486324,0.114303589,0.01306531,1.571181966,1375751.442,1537499660,37.81568052,-122.2641563
19411,0.083374023,0.006951228,0.56463623,0.318814072,0.049057007,0.00240659,0.572862889,1375751.502,1537499660,37.81568052,-122.2641563
19412,0.347106934,0.120483224,1.134490967,1.287069754,-0.637527466,0.40644127,1.346846037,1375751.562,1537499661,37.81564612,-122.264165
19413,0.327163696,0.107036084,1.153198242,1.329866185,-0.083084106,0.006902969,1.20158447,1375751.621,1537499661,37.81564612,-122.264165
19414,0.3490448,0.121832272,1.616973877,2.614604519,-0.083297729,0.006938512,1.656313769,1375751.681,1537499661,37.81564612,-122.264165
19415,0.058746338,0.003451132,-0.132461548,0.017546062,0.030990601,0.000960417,0.148181008,1375751.741,1537499661,37.81564612,-122.264165
19416,0.255218506,0.065136486,0.84387207,0.712120071,-0.10345459,0.010702852,0.887670777,1375751.8,1537499661,37.81564612,-122.264165
